phase,history,condition,trial,c,x,y,correct_action
TRAIN,H-S,-,59,1,0,0,A1
TRAIN,H-S,-,60,0,0,0,A1
TRAIN,H-S,-,61,0,1,1,A1
TRAIN,H-S,-,62,1,0,1,A0
TRAIN,H-S,-,63,0,1,0,A0
TRAIN,H-S,-,64,1,1,1,A1
TRAIN,H-S,-,65,1,1,0,A0
TRAIN,H-S,-,66,1,0,0,A1
TRAIN,H-S,-,67,0,0,1,A0
TRAIN,H-S,-,68,0,1,1,A1
TRAIN,H-S,-,69,0,0,0,A1
TRAIN,H-S,-,70,1,1,1,A1
TRAIN,H-S,-,71,1,1,0,A0
TRAIN,H-S,-,72,0,1,0,A0
TRAIN,H-S,-,73,1,0,1,A0
TRAIN,H-S,-,74,0,0,1,A0
TRAIN,H-S,-,75,0,0,0,A1
TRAIN,H-S,-,76,1,0,0,A1
TRAIN,H-S,-,77,0,1,1,A1
TRAIN,H-S,-,78,1,1,1,A1
TRAIN,H-S,-,79,1,0,1,A0
TRAIN,H-S,-,80,0,1,0,A0
TRAIN,H-S,-,81,0,0,1,A0
TRAIN,H-S,-,82,1,1,0,A0
TRAIN,H-S,-,83,1,0,0,A1
TRAIN,H-S,-,84,0,0,0,A1
TRAIN,H-S,-,85,0,1,1,A1
TRAIN,H-S,-,86,1,0,1,A0
TRAIN,H-S,-,87,1,1,1,A1
TRAIN,H-S,-,88,0,1,0,A0
TRAIN,H-S,-,89,1,1,0,A0
TRAIN,H-S,-,90,0,0,1,A0
TRAIN,H-S,-,91,1,0,0,A1
TRAIN,H-S,-,92,0,1,1,A1
TRAIN,H-S,-,93,0,0,0,A1
TRAIN,H-S,-,94,1,1,1,A1
TRAIN,H-S,-,95,1,0,1,A0
TRAIN,H-S,-,96,0,1,0,A0
TRAIN,H-S,-,97,0,0,1,A0
TRAIN,H-S,-,98,1,1,0,A0
TRAIN,H-S,-,99,1,0,0,A1
TRAIN,H-S,-,100,0,1,1,A1
TRAIN,H-S,-,101,1,1,1,A1
TRAIN,H-S,-,102,0,0,0,A1
TRAIN,H-S,-,103,1,0,1,A0
TRAIN,H-S,-,104,0,1,0,A0
TRAIN,H-S,-,105,1,1,0,A0
TRAIN,H-S,-,106,0,0,1,A0
TRAIN,H-S,-,107,0,1,1,A1
TRAIN,H-S,-,108,1,0,0,A1
TRAIN,H-S,-,109,0,0,0,A1
TRAIN,H-S,-,110,1,1,1,A1
TRAIN,H-S,-,111,0,1,0,A0
TRAIN,H-S,-,112,1,0,1,A0
TRAIN,H-S,-,113,0,0,1,A0
TRAIN,H-S,-,114,1,1,0,A0
TRAIN,H-S,-,115,1,0,0,A1
TRAIN,H-S,-,116,0,1,1,A1
TRAIN,H-S,-,117,0,0,0,A1
TRAIN,H-S,-,118,1,0,1,A0
TRAIN,H-S,-,119,0,1,0,A0
TRAIN,H-S,-,120,1,1,1,A1
TRAIN,H-S,-,121,0,0,1,A0
TRAIN,H-S,-,122,1,1,0,A0
TRAIN,H-S,-,123,1,0,0,A1
TRAIN,H-S,-,124,0,1,1,A1
TRAIN,H-S,-,125,0,0,0,A1
TRAIN,H-S,-,126,1,0,1,A0
TRAIN,H-S,-,127,1,1,1,A1
TRAIN,H-S,-,128,0,1,0,A0
TRAIN,H-S,-,129,1,1,0,A0
TRAIN,H-S,-,130,0,0,1,A0
TRAIN,H-S,-,131,0,1,1,A1
TRAIN,H-S,-,132,1,0,0,A1
TRAIN,H-S,-,133,0,0,0,A1
TRAIN,H-S,-,134,1,1,1,A1
TRAIN,H-S,-,135,1,0,1,A0
TRAIN,H-S,-,136,0,1,0,A0
TRAIN,H-S,-,137,0,0,1,A0
TRAIN,H-S,-,138,1,1,0,A0
TRAIN,H-S,-,139,1,0,0,A1
TRAIN,H-S,-,140,0,1,1,A1
TRAIN,H-S,-,141,0,0,0,A1
TRAIN,H-S,-,142,1,0,1,A0
TRAIN,H-S,-,143,0,1,0,A0
TRAIN,H-S,-,144,1,1,1,A1
TRAIN,H-S,-,145,0,0,1,A0
TRAIN,H-S,-,146,1,1,0,A0
TRAIN,H-S,-,147,1,0,0,A1
TRAIN,H-S,-,148,0,1,1,A1
TRAIN,H-S,-,149,0,0,0,A1
TRAIN,H-S,-,150,1,0,1,A0
TRAIN,H-S,-,151,1,1,1,A1
TRAIN,H-S,-,152,0,1,0,A0
TRAIN,H-S,-,153,1,1,0,A0
TRAIN,H-S,-,154,0,0,1,A0
TRAIN,H-S,-,155,0,1,1,A1
TRAIN,H-S,-,156,1,0,0,A1
TRAIN,H-S,-,157,0,0,0,A1
TRAIN,H-S,-,158,1,1,1,A1
TRAIN,H-S,-,159,1,0,1,A0
TRAIN,H-S,-,160,0,1,0,A0
TRAIN,H-S,-,161,0,0,1,A0
TRAIN,H-S,-,162,1,1,0,A0
TRAIN,H-S,-,163,1,0,0,A1
TRAIN,H-S,-,164,0,1,1,A1
TRAIN,H-S,-,165,0,0,0,A1
TRAIN,H-S,-,166,1,0,1,A0
TRAIN,H-S,-,167,0,1,0,A0
TRAIN,H-S,-,168,1,1,1,A1
TRAIN,H-S,-,169,0,0,1,A0
TRAIN,H-S,-,170,1,1,0,A0
TRAIN,H-S,-,171,1,0,0,A1
TRAIN,H-S,-,172,0,1,1,A1
TRAIN,H-S,-,173,0,0,0,A1
TRAIN,H-S,-,174,1,0,1,A0
TRAIN,H-S,-,175,1,1,1,A1
TRAIN,H-S,-,176,0,1,0,A0
TRAIN,H-S,-,177,1,1,0,A0
TRAIN,H-S,-,178,0,0,1,A0
TRAIN,H-S,-,179,0,1,1,A1
TRAIN,H-S,-,180,1,0,0,A1
TRAIN,H-S,-,181,0,0,0,A1
TRAIN,H-S,-,182,1,1,1,A1
TRAIN,H-S,-,183,1,0,1,A0
TRAIN,H-S,-,184,0,1,0,A0
TRAIN,H-S,-,185,0,0,1,A0
TRAIN,H-S,-,186,1,1,0,A0
TRAIN,H-S,-,187,1,0,0,A1
TRAIN,H-S,-,188,0,1,1,A1
TRAIN,H-S,-,189,0,0,0,A1
TRAIN,H-S,-,190,1,0,1,A0
TRAIN,H-S,-,191,0,1,0,A0
TRAIN,H-S,-,192,1,1,1,A1
