history,phase,condition,trial,source_c,source_x,source_y,present_c,present_x,present_y,correct_action
H-S,training,T,107,0,1,1,0,1,1,A1
H-S,training,T,108,0,0,1,0,0,1,A0
H-S,training,T,109,1,1,1,1,1,1,A1
H-S,training,T,110,1,0,0,1,0,0,A1
H-S,training,T,111,0,0,0,0,0,0,A1
H-S,training,T,112,0,0,1,0,0,1,A0
H-S,training,T,113,1,1,1,1,1,1,A1
H-S,training,T,114,1,0,0,1,0,0,A1
H-S,training,T,115,1,1,1,1,1,1,A1
H-S,training,T,116,0,0,1,0,0,1,A0
H-S,training,T,117,0,0,0,0,0,0,A1
H-S,training,T,118,0,0,0,0,0,0,A1
H-S,training,T,119,0,0,1,0,0,1,A0
H-S,training,T,120,1,1,0,1,1,0,A0
H-S,training,T,121,0,0,1,0,0,1,A0
H-S,training,T,122,0,0,0,0,0,0,A1
H-S,training,T,123,0,0,1,0,0,1,A0
H-S,training,T,124,1,0,0,1,0,0,A1
H-S,training,T,125,0,1,1,0,1,1,A1
H-S,training,T,126,1,1,0,1,1,0,A0
H-S,training,T,127,1,0,0,1,0,0,A1
H-S,training,T,128,0,1,1,0,1,1,A1
H-S,training,T,129,0,0,0,0,0,0,A1
H-S,training,T,130,0,1,1,0,1,1,A1
H-S,training,T,131,0,0,1,0,0,1,A0
H-S,training,T,132,0,0,0,0,0,0,A1
H-S,training,T,133,1,1,1,1,1,1,A1
H-S,training,T,134,1,0,0,1,0,0,A1
H-S,training,T,135,1,0,0,1,0,0,A1
H-S,training,T,136,1,1,1,1,1,1,A1
H-S,training,T,137,1,0,0,1,0,0,A1
H-S,training,T,138,1,1,1,1,1,1,A1
H-S,training,T,139,1,1,1,1,1,1,A1
H-S,training,T,140,0,0,0,0,0,0,A1
H-S,training,T,141,0,0,1,0,0,1,A0
H-S,training,T,142,1,1,0,1,1,0,A0
H-S,training,T,143,0,0,0,0,0,0,A1
H-S,training,T,144,1,0,0,1,0,0,A1
H-S,training,T,145,1,1,1,1,1,1,A1
H-S,training,T,146,0,0,0,0,0,0,A1
H-S,training,T,147,0,0,1,0,0,1,A0
H-S,training,T,148,0,0,0,0,0,0,A1
H-S,training,T,149,1,0,0,1,0,0,A1
H-S,training,T,150,1,0,0,1,0,0,A1
H-S,training,T,151,0,0,0,0,0,0,A1
H-S,training,T,152,1,1,0,1,1,0,A0
H-S,training,T,153,1,1,1,1,1,1,A1
H-S,training,T,154,0,1,1,0,1,1,A1
H-S,training,T,155,1,1,0,1,1,0,A0
H-S,training,T,156,1,0,0,1,0,0,A1
H-S,training,T,157,0,1,1,0,1,1,A1
H-S,training,T,158,1,1,1,1,1,1,A1
H-S,training,T,159,0,1,1,0,1,1,A1
H-S,training,T,160,1,1,0,1,1,0,A0
H-S,training,T,161,1,0,0,1,0,0,A1
H-S,training,T,162,0,0,1,0,0,1,A0
H-S,training,T,163,0,1,1,0,1,1,A1
H-S,training,T,164,0,1,1,0,1,1,A1
H-S,training,T,165,0,0,1,0,0,1,A0
H-S,training,T,166,1,1,0,1,1,0,A0
H-S,training,T,167,1,0,0,1,0,0,A1
H-S,training,T,168,0,0,0,0,0,0,A1
H-S,training,T,169,1,1,0,1,1,0,A0
H-S,training,T,170,0,0,1,0,0,1,A0
H-S,training,T,171,1,1,0,1,1,0,A0
H-S,training,T,172,0,0,1,0,0,1,A0
H-S,training,T,173,1,1,0,1,1,0,A0
H-S,training,T,174,0,1,1,0,1,1,A1
H-S,training,T,175,0,0,0,0,0,0,A1
H-S,training,T,176,1,1,1,1,1,1,A1
H-S,training,T,177,1,1,0,1,1,0,A0
H-S,training,T,178,0,1,1,0,1,1,A1
H-S,training,T,179,1,1,0,1,1,0,A0
H-S,training,T,180,1,1,1,1,1,1,A1
H-S,training,T,181,0,1,1,0,1,1,A1
H-S,training,T,182,1,0,0,1,0,0,A1
H-S,training,T,183,1,0,0,1,0,0,A1
H-S,training,T,184,0,0,1,0,0,1,A0
H-S,training,T,185,0,1,1,0,1,1,A1
H-S,training,T,186,0,0,1,0,0,1,A0
H-S,training,T,187,1,1,0,1,1,0,A0
H-S,training,T,188,0,1,1,0,1,1,A1
H-S,training,T,189,1,0,0,1,0,0,A1
H-S,training,T,190,0,0,0,0,0,0,A1
H-S,training,T,191,0,1,1,0,1,1,A1
H-S,training,T,192,1,0,0,1,0,0,A1
H-S,future,A,1,0,1,0,0,1,0,A0
H-S,future,A,2,0,0,1,0,0,1,A0
H-S,future,A,3,0,0,1,0,0,1,A0
H-S,future,A,4,1,1,1,1,1,1,A1
H-S,future,A,5,1,1,1,1,1,1,A1
H-S,future,A,6,1,1,1,1,1,1,A1
H-S,future,A,7,1,1,1,1,1,1,A1
H-S,future,A,8,1,1,1,1,1,1,A1
H-S,future,A,9,1,1,0,1,1,0,A0
H-S,future,A,10,0,0,1,0,0,1,A0
H-S,future,A,11,0,0,1,0,0,1,A0
H-S,future,A,12,1,0,0,1,0,0,A1
H-S,future,A,13,1,1,0,1,1,0,A0
H-S,future,A,14,1,1,0,1,1,0,A0
H-S,future,A,15,1,0,1,1,0,1,A0
H-S,future,A,16,0,1,1,0,1,1,A1
H-S,future,A,17,0,0,0,0,0,0,A1
H-S,future,A,18,0,1,1,0,1,1,A1
H-S,future,A,19,0,1,1,0,1,1,A1
H-S,future,A,20,1,0,0,1,0,0,A1
H-S,future,A,21,0,0,0,0,0,0,A1
H-S,future,A,22,0,1,1,0,1,1,A1
H-S,future,A,23,0,1,0,0,1,0,A0
H-S,future,A,24,1,0,0,1,0,0,A1
H-S,future,A,25,0,1,0,0,1,0,A0
H-S,future,A,26,1,1,0,1,1,0,A0
H-S,future,A,27,1,0,1,1,0,1,A0
H-S,future,A,28,1,1,1,1,1,1,A1
H-S,future,A,29,1,1,0,1,1,0,A0
H-S,future,A,30,1,1,0,1,1,0,A0
H-S,future,A,31,1,0,0,1,0,0,A1
H-S,future,A,32,0,0,1,0,0,1,A0
H-S,future,A,33,0,0,1,0,0,1,A0
H-S,future,A,34,0,0,0,0,0,0,A1
H-S,future,A,35,1,0,0,1,0,0,A1
H-S,future,A,36,1,1,0,1,1,0,A0
H-S,future,A,37,1,0,1,1,0,1,A0
H-S,future,A,38,0,0,0,0,0,0,A1
H-S,future,A,39,1,0,0,1,0,0,A1
H-S,future,A,40,0,0,1,0,0,1,A0
H-S,future,A,41,1,1,0,1,1,0,A0
H-S,future,A,42,1,0,0,1,0,0,A1
H-S,future,A,43,1,0,0,1,0,0,A1
H-S,future,A,44,1,0,1,1,0,1,A0
H-S,future,A,45,0,0,0,0,0,0,A1
H-S,future,A,46,1,0,0,1,0,0,A1
H-S,future,A,47,1,1,1,1,1,1,A1
H-S,future,A,48,0,0,1,0,0,1,A0
H-S,future,A,49,0,1,1,0,1,1,A1
H-S,future,A,50,0,1,1,0,1,1,A1
H-S,future,A,51,0,1,0,0,1,0,A0
H-S,future,A,52,0,1,0,0,1,0,A0
H-S,future,A,53,0,1,0,0,1,0,A0
H-S,future,A,54,1,0,1,1,0,1,A0
H-S,future,A,55,0,0,0,0,0,0,A1
H-S,future,A,56,0,0,0,0,0,0,A1
H-S,future,A,57,0,0,0,0,0,0,A1
H-S,future,A,58,1,0,1,1,0,1,A0
H-S,future,A,59,0,1,1,0,1,1,A1
H-S,future,A,60,0,1,1,0,1,1,A1
H-S,future,A,61,1,0,1,1,0,1,A0
H-S,future,A,62,1,0,0,1,0,0,A1
H-S,future,A,63,0,0,1,0,0,1,A0
H-S,future,A,64,0,0,1,0,0,1,A0
H-S,future,A,65,0,0,0,0,0,0,A1
H-S,future,A,66,0,0,1,0,0,1,A0
H-S,future,A,67,0,0,1,0,0,1,A0
H-S,future,A,68,1,0,1,1,0,1,A0
H-S,future,A,69,0,0,0,0,0,0,A1
H-S,future,A,70,1,1,1,1,1,1,A1
H-S,future,A,71,1,1,0,1,1,0,A0
H-S,future,A,72,1,0,1,1,0,1,A0
H-S,future,A,73,1,1,1,1,1,1,A1
H-S,future,A,74,1,0,0,1,0,0,A1
H-S,future,A,75,1,1,0,1,1,0,A0
H-S,future,A,76,1,0,1,1,0,1,A0
H-S,future,A,77,0,1,1,0,1,1,A1
H-S,future,A,78,0,1,0,0,1,0,A0
H-S,future,A,79,0,1,0,0,1,0,A0
H-S,future,A,80,1,0,1,1,0,1,A0
H-S,future,A,81,1,1,0,1,1,0,A0
H-S,future,A,82,0,1,0,0,1,0,A0
H-S,future,A,83,0,1,0,0,1,0,A0
H-S,future,A,84,1,0,1,1,0,1,A0
H-S,future,A,85,0,1,0,0,1,0,A0
H-S,future,A,86,0,1,1,0,1,1,A1
H-S,future,A,87,1,1,1,1,1,1,A1
H-S,future,A,88,0,1,0,0,1,0,A0
H-S,future,A,89,0,0,0,0,0,0,A1
H-S,future,A,90,0,1,1,0,1,1,A1
H-S,future,A,91,1,1,1,1,1,1,A1
H-S,future,A,92,1,0,0,1,0,0,A1
H-S,future,A,93,1,1,1,1,1,1,A1
H-S,future,A,94,1,1,0,1,1,0,A0
H-S,future,A,95,0,0,0,0,0,0,A1
H-S,future,A,96,0,1,1,0,1,1,A1
H-S,future,B,1,0,1,0,0,1,0,A1
H-S,future,B,2,0,0,1,0,0,1,A0
H-S,future,B,3,0,0,1,0,0,1,A0
H-S,future,B,4,1,1,1,1,1,1,A1
H-S,future,B,5,1,1,1,1,1,1,A1
H-S,future,B,6,1,1,1,1,1,1,A1
H-S,future,B,7,1,1,1,1,1,1,A1
H-S,future,B,8,1,1,1,1,1,1,A1
H-S,future,B,9,1,1,0,1,1,0,A0
H-S,future,B,10,0,0,1,0,0,1,A0
H-S,future,B,11,0,0,1,0,0,1,A0
H-S,future,B,12,1,0,0,1,0,0,A0
H-S,future,B,13,1,1,0,1,1,0,A0
H-S,future,B,14,1,1,0,1,1,0,A0
H-S,future,B,15,1,0,1,1,0,1,A1
H-S,future,B,16,0,1,1,0,1,1,A0
H-S,future,B,17,0,0,0,0,0,0,A1
H-S,future,B,18,0,1,1,0,1,1,A0
H-S,future,B,19,0,1,1,0,1,1,A0
H-S,future,B,20,1,0,0,1,0,0,A0
H-S,future,B,21,0,0,0,0,0,0,A1
H-S,future,B,22,0,1,1,0,1,1,A0
H-S,future,B,23,0,1,0,0,1,0,A1
H-S,future,B,24,1,0,0,1,0,0,A0
H-S,future,B,25,0,1,0,0,1,0,A1
H-S,future,B,26,1,1,0,1,1,0,A0
H-S,future,B,27,1,0,1,1,0,1,A1
H-S,future,B,28,1,1,1,1,1,1,A1
H-S,future,B,29,1,1,0,1,1,0,A0
H-S,future,B,30,1,1,0,1,1,0,A0
H-S,future,B,31,1,0,0,1,0,0,A0
H-S,future,B,32,0,0,1,0,0,1,A0
H-S,future,B,33,0,0,1,0,0,1,A0
H-S,future,B,34,0,0,0,0,0,0,A1
H-S,future,B,35,1,0,0,1,0,0,A0
H-S,future,B,36,1,1,0,1,1,0,A0
H-S,future,B,37,1,0,1,1,0,1,A1
H-S,future,B,38,0,0,0,0,0,0,A1
H-S,future,B,39,1,0,0,1,0,0,A0
H-S,future,B,40,0,0,1,0,0,1,A0
H-S,future,B,41,1,1,0,1,1,0,A0
H-S,future,B,42,1,0,0,1,0,0,A0
H-S,future,B,43,1,0,0,1,0,0,A0
H-S,future,B,44,1,0,1,1,0,1,A1
H-S,future,B,45,0,0,0,0,0,0,A1
H-S,future,B,46,1,0,0,1,0,0,A0
H-S,future,B,47,1,1,1,1,1,1,A1
H-S,future,B,48,0,0,1,0,0,1,A0
H-S,future,B,49,0,1,1,0,1,1,A0
H-S,future,B,50,0,1,1,0,1,1,A0
H-S,future,B,51,0,1,0,0,1,0,A1
H-S,future,B,52,0,1,0,0,1,0,A1
H-S,future,B,53,0,1,0,0,1,0,A1
H-S,future,B,54,1,0,1,1,0,1,A1
H-S,future,B,55,0,0,0,0,0,0,A1
H-S,future,B,56,0,0,0,0,0,0,A1
H-S,future,B,57,0,0,0,0,0,0,A1
H-S,future,B,58,1,0,1,1,0,1,A1
H-S,future,B,59,0,1,1,0,1,1,A0
H-S,future,B,60,0,1,1,0,1,1,A0
H-S,future,B,61,1,0,1,1,0,1,A1
H-S,future,B,62,1,0,0,1,0,0,A0
H-S,future,B,63,0,0,1,0,0,1,A0
H-S,future,B,64,0,0,1,0,0,1,A0
H-S,future,B,65,0,0,0,0,0,0,A1
H-S,future,B,66,0,0,1,0,0,1,A0
H-S,future,B,67,0,0,1,0,0,1,A0
H-S,future,B,68,1,0,1,1,0,1,A1
H-S,future,B,69,0,0,0,0,0,0,A1
H-S,future,B,70,1,1,1,1,1,1,A1
H-S,future,B,71,1,1,0,1,1,0,A0
H-S,future,B,72,1,0,1,1,0,1,A1
H-S,future,B,73,1,1,1,1,1,1,A1
H-S,future,B,74,1,0,0,1,0,0,A0
H-S,future,B,75,1,1,0,1,1,0,A0
H-S,future,B,76,1,0,1,1,0,1,A1
H-S,future,B,77,0,1,1,0,1,1,A0
H-S,future,B,78,0,1,0,0,1,0,A1
H-S,future,B,79,0,1,0,0,1,0,A1
H-S,future,B,80,1,0,1,1,0,1,A1
H-S,future,B,81,1,1,0,1,1,0,A0
H-S,future,B,82,0,1,0,0,1,0,A1
H-S,future,B,83,0,1,0,0,1,0,A1
H-S,future,B,84,1,0,1,1,0,1,A1
H-S,future,B,85,0,1,0,0,1,0,A1
H-S,future,B,86,0,1,1,0,1,1,A0
H-S,future,B,87,1,1,1,1,1,1,A1
H-S,future,B,88,0,1,0,0,1,0,A1
H-S,future,B,89,0,0,0,0,0,0,A1
H-S,future,B,90,0,1,1,0,1,1,A0
H-S,future,B,91,1,1,1,1,1,1,A1
H-S,future,B,92,1,0,0,1,0,0,A0
H-S,future,B,93,1,1,1,1,1,1,A1
H-S,future,B,94,1,1,0,1,1,0,A0
H-S,future,B,95,0,0,0,0,0,0,A1
H-S,future,B,96,0,1,1,0,1,1,A0
H-S,future,C,1,0,1,0,1,0,1,A0
H-S,future,C,2,0,0,1,1,1,0,A0
H-S,future,C,3,0,0,1,1,1,0,A0
H-S,future,C,4,1,1,1,0,0,0,A1
H-S,future,C,5,1,1,1,0,0,0,A1
H-S,future,C,6,1,1,1,0,0,0,A1
H-S,future,C,7,1,1,1,0,0,0,A1
H-S,future,C,8,1,1,1,0,0,0,A1
H-S,future,C,9,1,1,0,0,0,1,A0
H-S,future,C,10,0,0,1,1,1,0,A0
H-S,future,C,11,0,0,1,1,1,0,A0
H-S,future,C,12,1,0,0,0,1,1,A1
H-S,future,C,13,1,1,0,0,0,1,A0
H-S,future,C,14,1,1,0,0,0,1,A0
H-S,future,C,15,1,0,1,0,1,0,A0
H-S,future,C,16,0,1,1,1,0,0,A1
H-S,future,C,17,0,0,0,1,1,1,A1
H-S,future,C,18,0,1,1,1,0,0,A1
H-S,future,C,19,0,1,1,1,0,0,A1
H-S,future,C,20,1,0,0,0,1,1,A1
H-S,future,C,21,0,0,0,1,1,1,A1
H-S,future,C,22,0,1,1,1,0,0,A1
H-S,future,C,23,0,1,0,1,0,1,A0
H-S,future,C,24,1,0,0,0,1,1,A1
H-S,future,C,25,0,1,0,1,0,1,A0
H-S,future,C,26,1,1,0,0,0,1,A0
H-S,future,C,27,1,0,1,0,1,0,A0
H-S,future,C,28,1,1,1,0,0,0,A1
H-S,future,C,29,1,1,0,0,0,1,A0
H-S,future,C,30,1,1,0,0,0,1,A0
H-S,future,C,31,1,0,0,0,1,1,A1
H-S,future,C,32,0,0,1,1,1,0,A0
H-S,future,C,33,0,0,1,1,1,0,A0
H-S,future,C,34,0,0,0,1,1,1,A1
H-S,future,C,35,1,0,0,0,1,1,A1
H-S,future,C,36,1,1,0,0,0,1,A0
H-S,future,C,37,1,0,1,0,1,0,A0
H-S,future,C,38,0,0,0,1,1,1,A1
H-S,future,C,39,1,0,0,0,1,1,A1
H-S,future,C,40,0,0,1,1,1,0,A0
H-S,future,C,41,1,1,0,0,0,1,A0
H-S,future,C,42,1,0,0,0,1,1,A1
H-S,future,C,43,1,0,0,0,1,1,A1
H-S,future,C,44,1,0,1,0,1,0,A0
H-S,future,C,45,0,0,0,1,1,1,A1
H-S,future,C,46,1,0,0,0,1,1,A1
H-S,future,C,47,1,1,1,0,0,0,A1
H-S,future,C,48,0,0,1,1,1,0,A0
H-S,future,C,49,0,1,1,1,0,0,A1
H-S,future,C,50,0,1,1,1,0,0,A1
H-S,future,C,51,0,1,0,1,0,1,A0
H-S,future,C,52,0,1,0,1,0,1,A0
H-S,future,C,53,0,1,0,1,0,1,A0
H-S,future,C,54,1,0,1,0,1,0,A0
H-S,future,C,55,0,0,0,1,1,1,A1
H-S,future,C,56,0,0,0,1,1,1,A1
H-S,future,C,57,0,0,0,1,1,1,A1
H-S,future,C,58,1,0,1,0,1,0,A0
H-S,future,C,59,0,1,1,1,0,0,A1
H-S,future,C,60,0,1,1,1,0,0,A1
H-S,future,C,61,1,0,1,0,1,0,A0
H-S,future,C,62,1,0,0,0,1,1,A1
H-S,future,C,63,0,0,1,1,1,0,A0
H-S,future,C,64,0,0,1,1,1,0,A0
H-S,future,C,65,0,0,0,1,1,1,A1
H-S,future,C,66,0,0,1,1,1,0,A0
H-S,future,C,67,0,0,1,1,1,0,A0
H-S,future,C,68,1,0,1,0,1,0,A0
H-S,future,C,69,0,0,0,1,1,1,A1
H-S,future,C,70,1,1,1,0,0,0,A1
H-S,future,C,71,1,1,0,0,0,1,A0
H-S,future,C,72,1,0,1,0,1,0,A0
H-S,future,C,73,1,1,1,0,0,0,A1
H-S,future,C,74,1,0,0,0,1,1,A1
H-S,future,C,75,1,1,0,0,0,1,A0
H-S,future,C,76,1,0,1,0,1,0,A0
H-S,future,C,77,0,1,1,1,0,0,A1
H-S,future,C,78,0,1,0,1,0,1,A0
H-S,future,C,79,0,1,0,1,0,1,A0
H-S,future,C,80,1,0,1,0,1,0,A0
H-S,future,C,81,1,1,0,0,0,1,A0
H-S,future,C,82,0,1,0,1,0,1,A0
H-S,future,C,83,0,1,0,1,0,1,A0
H-S,future,C,84,1,0,1,0,1,0,A0
H-S,future,C,85,0,1,0,1,0,1,A0
H-S,future,C,86,0,1,1,1,0,0,A1
H-S,future,C,87,1,1,1,0,0,0,A1
H-S,future,C,88,0,1,0,1,0,1,A0
H-S,future,C,89,0,0,0,1,1,1,A1
H-S,future,C,90,0,1,1,1,0,0,A1
H-S,future,C,91,1,1,1,0,0,0,A1
H-S,future,C,92,1,0,0,0,1,1,A1
H-S,future,C,93,1,1,1,0,0,0,A1
H-S,future,C,94,1,1,0,0,0,1,A0
H-S,future,C,95,0,0,0,1,1,1,A1
H-S,future,C,96,0,1,1,1,0,0,A1
H-S,future,D,1,0,1,0,0,1,0,A1
H-S,future,D,2,0,0,1,0,0,1,A1
H-S,future,D,3,0,0,1,0,0,1,A1
H-S,future,D,4,1,1,1,1,1,1,A0
H-S,future,D,5,1,1,1,1,1,1,A0
H-S,future,D,6,1,1,1,1,1,1,A0
H-S,future,D,7,1,1,1,1,1,1,A0
H-S,future,D,8,1,1,1,1,1,1,A0
H-S,future,D,9,1,1,0,1,1,0,A1
H-S,future,D,10,0,0,1,0,0,1,A1
H-S,future,D,11,0,0,1,0,0,1,A1
H-S,future,D,12,1,0,0,1,0,0,A0
H-S,future,D,13,1,1,0,1,1,0,A1
H-S,future,D,14,1,1,0,1,1,0,A1
H-S,future,D,15,1,0,1,1,0,1,A1
H-S,future,D,16,0,1,1,0,1,1,A0
H-S,future,D,17,0,0,0,0,0,0,A0
H-S,future,D,18,0,1,1,0,1,1,A0
H-S,future,D,19,0,1,1,0,1,1,A0
H-S,future,D,20,1,0,0,1,0,0,A0
H-S,future,D,21,0,0,0,0,0,0,A0
H-S,future,D,22,0,1,1,0,1,1,A0
H-S,future,D,23,0,1,0,0,1,0,A1
H-S,future,D,24,1,0,0,1,0,0,A0
H-S,future,D,25,0,1,0,0,1,0,A1
H-S,future,D,26,1,1,0,1,1,0,A1
H-S,future,D,27,1,0,1,1,0,1,A1
H-S,future,D,28,1,1,1,1,1,1,A0
H-S,future,D,29,1,1,0,1,1,0,A1
H-S,future,D,30,1,1,0,1,1,0,A1
H-S,future,D,31,1,0,0,1,0,0,A0
H-S,future,D,32,0,0,1,0,0,1,A1
H-S,future,D,33,0,0,1,0,0,1,A1
H-S,future,D,34,0,0,0,0,0,0,A0
H-S,future,D,35,1,0,0,1,0,0,A0
H-S,future,D,36,1,1,0,1,1,0,A1
H-S,future,D,37,1,0,1,1,0,1,A1
H-S,future,D,38,0,0,0,0,0,0,A0
H-S,future,D,39,1,0,0,1,0,0,A0
H-S,future,D,40,0,0,1,0,0,1,A1
H-S,future,D,41,1,1,0,1,1,0,A1
H-S,future,D,42,1,0,0,1,0,0,A0
H-S,future,D,43,1,0,0,1,0,0,A0
H-S,future,D,44,1,0,1,1,0,1,A1
H-S,future,D,45,0,0,0,0,0,0,A0
H-S,future,D,46,1,0,0,1,0,0,A0
H-S,future,D,47,1,1,1,1,1,1,A0
H-S,future,D,48,0,0,1,0,0,1,A1
H-S,future,D,49,0,1,1,0,1,1,A0
H-S,future,D,50,0,1,1,0,1,1,A0
H-S,future,D,51,0,1,0,0,1,0,A1
H-S,future,D,52,0,1,0,0,1,0,A1
H-S,future,D,53,0,1,0,0,1,0,A1
H-S,future,D,54,1,0,1,1,0,1,A1
H-S,future,D,55,0,0,0,0,0,0,A0
H-S,future,D,56,0,0,0,0,0,0,A0
H-S,future,D,57,0,0,0,0,0,0,A0
H-S,future,D,58,1,0,1,1,0,1,A1
H-S,future,D,59,0,1,1,0,1,1,A0
H-S,future,D,60,0,1,1,0,1,1,A0
H-S,future,D,61,1,0,1,1,0,1,A1
H-S,future,D,62,1,0,0,1,0,0,A0
H-S,future,D,63,0,0,1,0,0,1,A1
H-S,future,D,64,0,0,1,0,0,1,A1
H-S,future,D,65,0,0,0,0,0,0,A0
H-S,future,D,66,0,0,1,0,0,1,A1
H-S,future,D,67,0,0,1,0,0,1,A1
H-S,future,D,68,1,0,1,1,0,1,A1
H-S,future,D,69,0,0,0,0,0,0,A0
H-S,future,D,70,1,1,1,1,1,1,A0
H-S,future,D,71,1,1,0,1,1,0,A1
H-S,future,D,72,1,0,1,1,0,1,A1
H-S,future,D,73,1,1,1,1,1,1,A0
H-S,future,D,74,1,0,0,1,0,0,A0
H-S,future,D,75,1,1,0,1,1,0,A1
H-S,future,D,76,1,0,1,1,0,1,A1
