history,phase,condition,trial,c,x,y,correct_action
H-S,training,T,108,1,0,1,A0
H-S,training,T,109,0,1,1,A1
H-S,training,T,110,1,1,0,A1
H-S,training,T,111,1,0,1,A0
H-S,training,T,112,0,0,0,A1
H-S,training,T,113,1,1,1,A1
H-S,training,T,114,0,1,1,A1
H-S,training,T,115,0,1,0,A0
H-S,training,T,116,1,1,0,A1
H-S,training,T,117,1,0,1,A0
H-S,training,T,118,0,0,0,A1
H-S,training,T,119,0,1,1,A1
H-S,training,T,120,1,1,1,A1
H-S,training,T,121,0,1,0,A0
H-S,training,T,122,1,0,1,A0
H-S,training,T,123,1,1,0,A1
H-S,training,T,124,0,0,0,A1
H-S,training,T,125,0,1,1,A1
H-S,training,T,126,1,1,1,A1
H-S,training,T,127,1,0,1,A0
H-S,training,T,128,0,1,0,A0
H-S,training,T,129,0,0,0,A1
H-S,training,T,130,1,1,0,A1
H-S,training,T,131,0,1,1,A1
H-S,training,T,132,1,0,1,A0
H-S,training,T,133,0,1,0,A0
H-S,training,T,134,1,1,1,A1
H-S,training,T,135,0,0,0,A1
H-S,training,T,136,1,1,0,A1
H-S,training,T,137,1,0,1,A0
H-S,training,T,138,0,1,1,A1
H-S,training,T,139,0,1,0,A0
H-S,training,T,140,1,1,1,A1
H-S,training,T,141,0,0,0,A1
H-S,training,T,142,1,0,1,A0
H-S,training,T,143,0,1,1,A1
H-S,training,T,144,1,1,0,A1
H-S,training,T,145,0,1,0,A0
H-S,training,T,146,0,0,0,A1
H-S,training,T,147,1,1,1,A1
H-S,training,T,148,1,0,1,A0
H-S,training,T,149,0,1,1,A1
H-S,training,T,150,1,1,0,A1
H-S,training,T,151,1,0,1,A0
H-S,training,T,152,0,1,0,A0
H-S,training,T,153,0,0,0,A1
H-S,training,T,154,1,1,1,A1
H-S,training,T,155,0,1,1,A1
H-S,training,T,156,1,1,0,A1
H-S,training,T,157,1,0,1,A0
H-S,training,T,158,0,1,0,A0
H-S,training,T,159,0,0,0,A1
H-S,training,T,160,1,1,1,A1
H-S,training,T,161,0,1,1,A1
H-S,training,T,162,1,0,1,A0
H-S,training,T,163,0,1,0,A0
H-S,training,T,164,1,1,0,A1
H-S,training,T,165,1,0,1,A0
H-S,training,T,166,0,0,0,A1
H-S,training,T,167,0,1,1,A1
H-S,training,T,168,1,1,1,A1
H-S,training,T,169,0,1,0,A0
H-S,training,T,170,1,1,0,A1
H-S,training,T,171,0,0,0,A1
H-S,training,T,172,1,0,1,A0
H-S,training,T,173,0,1,1,A1
H-S,training,T,174,1,1,1,A1
H-S,training,T,175,0,1,0,A0
H-S,training,T,176,1,0,1,A0
H-S,training,T,177,0,0,0,A1
H-S,training,T,178,1,1,0,A1
H-S,training,T,179,0,1,1,A1
H-S,training,T,180,1,1,1,A1
H-S,training,T,181,0,1,0,A0
H-S,training,T,182,0,0,0,A1
H-S,training,T,183,1,0,1,A0
H-S,training,T,184,1,1,0,A1
H-S,training,T,185,0,1,1,A1
H-S,training,T,186,0,1,0,A0
H-S,training,T,187,1,1,1,A1
H-S,training,T,188,1,0,1,A0
H-S,training,T,189,0,0,0,A1
H-S,training,T,190,1,1,0,A1
H-S,training,T,191,0,1,1,A1
H-S,training,T,192,0,1,0,A0
